business_name,category,area,phone,whatsapp,instagram,website,cid,rating,amenities,desc_len,auto_desc
Tico Surf and Skate,services,Cocles,Y,N,Y,N,Y,4.4,0,75,
Caribe Horse Riding Club,tour_company,Cocles,Y,Y,Y,N,Y,4.8,0,468,
Ceibo Adventure,tour_company,Playa Chiquita,Y,N,N,Y,N,N,0,444,
Finca Tierra,tour_company,Cocles,Y,N,Y,N,Y,5.0,0,80,
Green Water SUP Tours,tour_company,Punta Uva,Y,Y,Y,N,Y,4.4,0,330,
Kinkaju Tours,tour_company,Hone Creek,Y,N,N,N,Y,5.0,0,102,
Punta Uva Dive Center,tour_company,Punta Uva,Y,Y,Y,Y,Y,4.4,0,185,
Ride the Rainforest,tour_company,Playa Chiquita,Y,Y,Y,N,Y,4.8,0,328,
Talamanca Chocolate,tour_company,Playa Negra,Y,Y,N,N,N,N,0,257,
Adobe EasyCar Rent a Car,transport,Puerto Viejo,Y,Y,Y,N,Y,4.8,0,192,
Alamo Enterprise Car Rental,transport,Puerto Viejo,Y,N,Y,N,Y,4.3,0,158,
Puerto Viejo Golf Carts,tour_company,Puerto Viejo,Y,Y,Y,Y,Y,N,0,281,
ATEC,tour_company,Puerto Viejo,Y,Y,Y,Y,Y,4.7,0,294,
Best Travel Puerto Viejo,tour_company,Puerto Viejo,Y,N,Y,N,Y,4.1,0,210,
Caribe Fun Tours,tour_company,Playa Negra,Y,N,Y,Y,Y,4.2,0,125,
Gecko Trail,tour_company,Puerto Viejo,Y,Y,Y,Y,Y,N,0,432,
Caribe Sur Real Estate,real_estate,Puerto Viejo,Y,Y,N,N,Y,4.0,0,139,
Century 21 Caribe,real_estate,Playa Chiquita,Y,N,N,Y,Y,4.3,0,117,
Coldwell Banker Caribe,real_estate,Puerto Viejo,Y,Y,Y,N,Y,5.0,0,75,
RISE Puerto Viejo,real_estate,Puerto Viejo,Y,Y,N,N,Y,4.9,0,130,
Green Property Management,real_estate,Playa Chiquita,Y,N,Y,N,Y,N,0,353,
Farmacia Caribe,shopping,Puerto Viejo,Y,N,Y,N,Y,4.3,0,89,Y
Puerto Viejo Pharmacy,shopping,Puerto Viejo,Y,N,N,N,Y,3.8,0,64,
Mega Super,shopping,Puerto Viejo,N,N,Y,N,Y,3.9,0,48,
Super Cocles,shopping,Cocles,N,N,Y,N,Y,4.5,0,106,
Super Punta Uva,shopping,Punta Uva,N,N,Y,N,Y,4.3,0,114,
Servicentro Hone Creek,services,Hone Creek,N,N,Y,N,Y,N,0,99,
Catholic Church,services,Puerto Viejo,N,N,Y,N,Y,5.0,0,21,
Puerto Viejo Police Station,services,Playa Negra,Y,N,N,N,Y,N,0,372,
Puerto Viejo Police Town Station,services,Puerto Viejo,N,N,Y,N,Y,5.0,0,182,
BAC Credomatic ATM,services,Puerto Viejo,N,N,Y,N,Y,2.7,0,84,
Banco de Costa Rica Puerto Viejo,services,Puerto Viejo,Y,N,N,N,Y,2.7,0,107,
Banco Nacional,services,Puerto Viejo,Y,N,Y,N,Y,3.5,0,86,
Watuza,restaurant,Puerto Viejo,N,N,Y,Y,Y,4.9,0,64,
Río Negro,restaurant,Cocles,Y,N,N,Y,Y,N,0,57,Y
Jungle Air Parapente,shopping,Puerto Viejo,Y,N,N,Y,Y,4.2,0,89,Y
Panadería Francés,shopping,Cocles,Y,N,Y,N,N,N,0,55,Y
Yerbas Concepto Culinario,restaurant,Puerto Viejo,N,N,Y,Y,Y,4.8,0,80,
Abba Home,restaurant,Puerto Viejo,Y,N,Y,Y,Y,5.0,7,91,Y
Alojamiento kon-tiky,vacation_rental,Playa Negra,Y,N,N,N,Y,5.0,4,95,Y
Api-Rescate,restaurant,Cocles,N,N,N,N,Y,4.6,0,49,Y
Ariel Apartment's,vacation_rental,Playa Negra,Y,N,N,Y,Y,4.5,4,95,Y
Arrecife El Chino,restaurant,Puerto Viejo,N,N,N,N,Y,4.9,0,55,Y
Beach Trail,restaurant,Playa Negra,N,N,N,N,Y,5.0,0,54,Y
BERACA,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.7,0,55,
Buddy's Sloth Crossing,restaurant,Puerto Viejo,N,N,Y,N,Y,5.0,0,91,Y
Cabina trepazul,vacation_rental,Playa Negra,Y,N,Y,N,Y,5.0,4,95,Y
Caribbean Blue Morpho Casitas,vacation_rental,Playa Negra,Y,Y,N,Y,Y,5.0,2,95,Y
CaribeZen,restaurant,Playa Negra,Y,N,Y,Y,Y,N,0,62,Y
Casa Alegra,restaurant,Playa Negra,N,N,N,N,Y,4.8,0,54,Y
Casa Amma,restaurant,Playa Negra,Y,N,N,N,Y,4.6,0,90,Y
Casa Amor,restaurant,Playa Negra,Y,N,N,N,Y,4.6,2,90,Y
Casa Antorcha,restaurant,Cocles,Y,N,N,N,Y,4.5,0,85,Y
Casa Canopy,restaurant,Cocles,N,N,N,N,Y,4.8,5,49,Y
Casa Chilamate Day House,restaurant,Playa Negra,Y,N,Y,Y,Y,4.5,2,90,Y
Casa Lily,restaurant,Cocles,N,N,N,N,Y,4.5,0,49,Y
Casa Miluca,restaurant,Playa Negra,Y,N,N,N,N,N,0,62,Y
Casa Miluco,restaurant,Playa Negra,N,N,N,N,Y,N,0,26,Y
Casa Olingo,restaurant,Playa Negra,Y,N,N,N,Y,4.6,0,90,Y
Casa Pallaita,restaurant,Playa Negra,N,N,N,Y,Y,4.8,5,90,Y
Casa Palliata,restaurant,Playa Negra,N,N,N,Y,Y,4.3,0,90,Y
Casa Shanti,restaurant,Cocles,N,N,N,N,Y,N,0,21,Y
casa tia zeidy,restaurant,Playa Negra,Y,Y,N,N,Y,4.9,0,90,Y
Casa vacacional happy day beach house,restaurant,Puerto Viejo,Y,N,N,N,Y,3.0,0,91,Y
Casa Vosi,restaurant,Playa Negra,N,N,N,N,Y,4.5,0,54,Y
Casas Sloth & Butterfly,restaurant,Playa Negra,N,N,N,N,Y,4.3,0,56,
Casita Tucan,hotel,Cocles,N,N,N,N,Y,4.1,6,44,Y
Casitas Batsú,vacation_rental,Cocles,Y,N,N,Y,Y,3.9,4,90,Y
CHOCORART,shopping,Puerto Viejo,Y,Y,N,Y,Y,N,0,37,
Cirrus Sky Paragliding CR,restaurant,Playa Negra,Y,Y,N,Y,Y,5.0,0,90,Y
Cubali Beach,restaurant,Playa Negra,N,N,N,N,Y,N,0,26,Y
Doctah Herbalist,restaurant,Cocles,Y,Y,N,N,Y,5.0,0,85,Y
Explora Caribe CR,restaurant,Playa Negra,Y,N,N,N,Y,4.0,0,90,Y
Finca Darai,restaurant,Cocles,N,N,N,N,Y,N,0,21,Y
FISIOTERAPIA Agustin cuya,restaurant,Cocles,Y,Y,N,Y,Y,5.0,0,85,Y
Global Stones finca conservación,restaurant,Cocles,N,N,N,N,Y,4.3,0,49,Y
Hidden Viewpoint,restaurant,Playa Negra,Y,N,N,N,Y,5.0,0,90,Y
Iglesia Cristiana Casa De Restauracion,restaurant,Cocles,N,N,N,N,Y,4.5,0,85,Y
Izzy Rides CR,restaurant,Cocles,Y,N,N,Y,Y,5.0,0,85,Y
Jungalow,restaurant,Puerto Viejo,N,N,N,N,Y,4.0,0,55,Y
Jungla del Caribeño,restaurant,Playa Negra,Y,N,Y,N,Y,4.7,1,90,Y
Kä Luxury Caribbean,restaurant,Playa Negra,N,N,N,N,Y,5.0,0,54,Y
Ka Namu,restaurant,Playa Negra,Y,Y,N,N,Y,N,0,62,Y
Katuk,restaurant,Playa Negra,N,N,N,Y,Y,4.9,0,53,
La Caracola,restaurant,Playa Negra,Y,N,N,N,Y,4.4,4,90,Y
LA CHASCONA,restaurant,Playa Negra,Y,N,N,N,Y,3.0,0,90,Y
