key,business_name,area,primary_category,groups,tags,attributes,review_state,conflicts,master_description,maps_parsed,maps_full_text
cid:2857032637458926519,"Cabañas Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,cabins|hotel,,accepted_deterministic,,True,True,True
cid:13369944886185180649,"Cabinas Ole Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,cabins|hotel,,accepted_deterministic,,True,True,True
cid:16161533908681591225,"Caribe Town Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,bar|gym|spa,accepted_deterministic,,True,True,True
cid:14658668036585456092,"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,bar|gym|spa,accepted_deterministic,,True,True,True
cid:11726717133900260893,"Colina Secreta - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,gym,accepted_deterministic,,True,True,True
cid:15457918864809997738,"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,bar|gym|spa,accepted_deterministic,,True,True,True
cid:811731149839330623,"Los Delfines Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,bed-and-breakfast|vacation-rental,accepted_deterministic,,True,True,True
cid:10932123085080779411,"Hotel Bugabutik - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,bar|laundry|massage,accepted_deterministic,,True,True,True
cid:12610196440035693725,"La Isla Inn - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,cabins|gym|laundry|vacation-rental,accepted_deterministic,,True,True,True
cid:1718865423614243627,"Lanna Ban Hotel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,gym,accepted_deterministic,,True,True,True
cid:4837747133838124638,"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,eat|nightlife|stay,bar|hotel,gym|massage|spa,retained_mixed_use,lodging_with_food_evidence,True,True,True
cid:8216271918783135936,"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,spa,accepted_deterministic,,True,True,True
cid:15133962780271824116,"La Paz del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,gym,accepted_deterministic,,True,True,True
cid:6927648870562475588,"Physis Caribbean Bed & Breakfast - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,bed-and-breakfast|hotel,gym,accepted_deterministic,,True,True,True
cid:2503861879451247980,"Pipa Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,,accepted_deterministic,,True,True,True
cid:1359064883656104943,"Relax Natural Village - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,bed-and-breakfast|hotel,gym,accepted_deterministic,,True,True,True
cid:6009775234321674954,"Satta Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,stay,hotel,bar|gym,accepted_deterministic,,True,True,True
cid:5273135705751598576,"Casa Merlin Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,gym|vacation-rental,accepted_deterministic,,True,True,True
cid:8515965990195848246,"Casitas Mar y Luz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel|vacation-rental,cabins|gym,accepted_deterministic,,True,True,True
cid:10566257576749882719,"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,gym|vacation-rental,accepted_deterministic,,True,True,True
cid:5319096016576692772,"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,bar|beauty|gym|spa|yoga,accepted_deterministic,,True,True,True
cid:2789448993779357106,"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,bar,accepted_deterministic,,True,False,True
cid:4375569377161762321,"Jaguar Inn Bungalows - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,hostel,accepted_deterministic,,True,True,True
cid:12131830785097631441,"La Kukula Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,bar|gym|laundry|vacation-rental,accepted_deterministic,,True,True,True
cid:12618084244946677516,"Mar Verde Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,,accepted_deterministic,,True,True,True
cid:7633661990399056727,"Namuwoki Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,bar|gym,accepted_deterministic,,True,True,True
cid:17996754399669659267,"El Nido Jungle Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,bar|cabins|gym,accepted_deterministic,,True,True,True
cid:11584809782208466783,"Shawandha Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,bar|gym,accepted_deterministic,,True,True,True
cid:3078819024997403606,"Tierra de Suenos Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,gym|yoga,accepted_deterministic,,True,True,True
