business_name,category,area,google_maps_cid,group_nightlife,group_eat,group_stay,group_things-to-do,group_shopping,group_services,group_wellness,group_transport,current_groups,potential_groups
"Sloth House 2 - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,11323383828584457886,,context,current,,,,,,stay,stay
"Villa Aragon - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,410104999530083035,,context,current,,,,,,stay,stay
"Villa Wolaba - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,8236556478934588728,,,current,,,,,,stay,stay
"Villas Ande - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,4076738848493846113,,,current,,,,,,stay,stay
"Villas Banana Verde - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,3491417544238941664,context,context,current,,,context,,,stay,stay
"Villas de la Luz - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,7675665734638034793,,context,current,,,,,,stay,stay
"Villas Luna Africana by Palmer - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,9410436487829075468,,,current,,,,,,stay,stay
"Villas Mapache del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,13447229575814168735,,context,current,,,,,,stay,stay
"Villas Piña - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,2206313602652580226,,context,current,,,,,,stay,stay
"Villas Ríos del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,4133532355689727929,,context,current,,,,,,stay,stay
"Villas Roca del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,16891468495061021112,,,current,,,,,,stay,stay
"Villas Serenidad - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,12865192766844460074,,context,current,context,,,,,stay,stay
"Yoshi's on the Beach - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,6607101811087559551,,context,current,,,,,,stay,stay
"Geckoes Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,11623096819320863549,,context,current,,,,,,stay,stay
"Alloro Jungle Villas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,2659428566815974857,,context,current,,,,,,stay,stay
"AroCocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,14894693076927745646,,,current,,,,,,stay,stay
"Azania Oasis - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,17887068920973627002,,context,current,,,,,,stay,stay
"Casa Ackee - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,12667576250238069497,,context,current,,,,,,stay,stay
"Casa Eden Jungle Apartments - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,16717641602858318859,,,current,,,,,,stay,stay
"Casa Margarita - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,3099661925276096610,,,current,,,,,,stay,stay
"Casa Mariposa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,8900920815586328050,,context,current,context,,,,,stay,stay
"Casa Modí - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,5659125372219148881,,,current,,,,,,stay,stay
"La Casita de Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,16930291155158825297,,,current,,,,,,stay,stay
"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,16195237219481974530,,context,current,,,,,,stay,stay
"Dano's Cabano - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,13596874059691247570,,context,current,,,,,,stay,stay
"David Valley Houses - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,17610491409749030649,,context,current,,,,,,stay,stay
"La Finca Chica - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,15662198641513996653,,context,current,,,,,,stay,stay
"Finca Valeria Treehouses - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,8420081138501081482,,,current,,,,,,stay,stay
"Flor del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,17897655248647644053,,,current,,,,,,stay,stay
"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,5613050885601789841,,,current,,,context,,,stay,stay
"Ocean's Breeze Apartment and Rooms - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,12871095951792514227,,,current,,,,,,stay,stay
"Las Palomas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,3948210368762528971,,,current,,context,,,,stay,stay
"La Perla del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,5477765746729269238,,,current,,,,,,stay,stay
"Terrazas del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,15602414082115305191,,context,current,,,,,,stay,stay
"Treevana - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,8441660170222933820,,,current,,,,,,stay,stay
"El Tucán Feliz - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,11607384494912146716,,,current,,,,,,stay,stay
"Villa Aurora - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,2778057777928120817,,context,current,,,,,,stay,stay
"Villa Elita - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,3811950339808245976,,context,current,,,,,,stay,stay
"Villa Laurel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,7902224320478214928,context,context,current,,,,,,stay,stay
"Villa Rameen - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,4271339890778489202,,context,current,,,,,,stay,stay
"Villas Lomas del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,8862541351972983241,,context,current,,,,,,stay,stay
